Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001404,Female,Yes,0.0,Graduate,No,53167,52283.0,154.0,360.0,1.0,Semiurban,Y
LP001699,Male,No,0.0,Graduate,No,52479,50000.0,59.0,360.0,1.0,Urban,Y
LP001508,Male,Yes,2.0,Graduate,No,61757,50000.0,187.0,180.0,1.0,Urban,Y
LP002161,Female,No,1.0,Graduate,No,54723,50000.0,81.0,360.0,1.0,Semiurban,N
LP001014,Male,Yes,3.0,Graduate,No,53036,52504.0,158.0,360.0,0.0,Semiurban,N
LP002723,Male,No,2.0,Graduate,No,53588,50000.0,110.0,360.0,0.0,Rural,N
LP001041,Male,Yes,0.0,Graduate,Yes,52600,53500.0,115.0,,1.0,Urban,Y
LP001608,Male,Yes,2.0,Graduate,No,52045,51619.0,101.0,360.0,1.0,Rural,Y
LP002473,Male,Yes,0.0,Graduate,No,58334,50000.0,160.0,360.0,1.0,Semiurban,N
LP001197,Male,Yes,0.0,Graduate,No,53366,52200.0,135.0,360.0,1.0,Rural,N
LP001993,Female,No,0.0,Graduate,No,53762,51666.0,135.0,360.0,1.0,Rural,Y
LP002126,Male,Yes,3.0,Not Graduate,No,53173,50000.0,74.0,360.0,1.0,Semiurban,Y
LP002472,Male,No,2.0,Graduate,No,54354,50000.0,136.0,360.0,1.0,Rural,Y
LP002086,Female,Yes,0.0,Graduate,No,54333,52451.0,110.0,360.0,1.0,Urban,N
LP002035,Male,Yes,2.0,Graduate,No,53717,50000.0,120.0,360.0,1.0,Semiurban,Y
LP001155,Female,Yes,0.0,Not Graduate,No,51928,51644.0,100.0,360.0,1.0,Semiurban,Y
LP002720,Male,Yes,3.0,Graduate,No,54281,50000.0,100.0,360.0,1.0,Urban,Y
LP001068,Male,Yes,0.0,Graduate,No,52799,52253.0,122.0,360.0,1.0,Semiurban,Y
LP002446,Male,Yes,2.0,Not Graduate,No,52309,51255.0,125.0,360.0,0.0,Rural,N
LP001751,Male,Yes,0.0,Graduate,No,53250,50000.0,170.0,360.0,1.0,Rural,N
LP002143,Female,Yes,0.0,Graduate,No,52423,50505.0,130.0,360.0,1.0,Semiurban,Y
LP001974,Female,No,0.0,Graduate,No,55000,50000.0,132.0,360.0,1.0,Rural,Y
LP001131,Male,Yes,0.0,Graduate,No,53941,52336.0,134.0,360.0,1.0,Semiurban,Y
LP002362,Male,Yes,1.0,Graduate,No,57250,51667.0,110.0,,0.0,Urban,N
LP001882,Male,Yes,3.0,Graduate,No,54333,51811.0,160.0,360.0,0.0,Urban,Y
LP002917,Female,No,0.0,Not Graduate,No,52165,50000.0,70.0,360.0,1.0,Semiurban,Y
LP001917,Female,No,0.0,Graduate,No,51811,51666.0,54.0,360.0,1.0,Urban,Y
LP002237,Male,No,1.0,Graduate,Yes,53667,50000.0,113.0,180.0,1.0,Urban,Y
LP002244,Male,Yes,0.0,Graduate,No,52333,52417.0,136.0,360.0,1.0,Urban,Y
LP002364,Male,Yes,0.0,Graduate,No,64880,50000.0,96.0,360.0,1.0,Semiurban,Y
LP001543,Male,Yes,1.0,Graduate,No,59538,50000.0,187.0,360.0,1.0,Urban,Y
LP001465,Male,Yes,0.0,Graduate,No,56080,52569.0,182.0,360.0,,Rural,N
LP002945,Male,Yes,0.0,Graduate,Yes,59963,50000.0,180.0,360.0,1.0,Rural,Y
LP002387,Male,Yes,0.0,Graduate,No,52425,52340.0,143.0,360.0,1.0,Semiurban,Y
LP002449,Male,Yes,0.0,Graduate,No,52483,52466.0,90.0,180.0,0.0,Rural,Y
LP001616,Male,Yes,1.0,Graduate,No,53750,50000.0,116.0,360.0,1.0,Semiurban,Y
LP001097,Male,No,1.0,Graduate,Yes,54692,50000.0,106.0,360.0,1.0,Rural,N
LP001401,Male,Yes,1.0,Graduate,No,64583,50000.0,185.0,180.0,1.0,Rural,Y
LP001052,Male,Yes,1.0,Graduate,Yes,53717,52925.0,151.0,360.0,,Semiurban,N
LP001610,Male,Yes,3.0,Graduate,No,55516,61300.0,495.0,360.0,0.0,Semiurban,N
LP002337,Female,No,0.0,Graduate,No,52995,50000.0,60.0,360.0,1.0,Urban,Y
LP001233,Male,Yes,1.0,Graduate,No,60750,50000.0,312.0,360.0,1.0,Urban,Y
LP001198,Male,Yes,1.0,Graduate,No,58080,52250.0,180.0,360.0,1.0,Urban,Y
LP002082,Male,Yes,0.0,Graduate,Yes,55818,52160.0,184.0,360.0,1.0,Semiurban,Y
LP001758,Male,Yes,2.0,Graduate,No,56250,51695.0,210.0,360.0,1.0,Semiurban,Y
LP001036,Female,No,0.0,Graduate,No,53510,50000.0,76.0,360.0,0.0,Urban,N
LP001978,Male,No,0.0,Graduate,No,54000,52500.0,140.0,360.0,1.0,Rural,Y
LP001868,Male,No,0.0,Graduate,No,52060,52209.0,134.0,360.0,1.0,Semiurban,Y
LP002002,Female,No,0.0,Graduate,No,52917,50000.0,84.0,360.0,1.0,Semiurban,Y
LP002912,Male,Yes,1.0,Graduate,No,54283,53000.0,172.0,84.0,1.0,Rural,N
LP001665,Male,Yes,1.0,Graduate,No,53125,52583.0,170.0,360.0,1.0,Semiurban,N
LP002315,Male,Yes,1.0,Graduate,No,58300,50000.0,152.0,300.0,0.0,Semiurban,N
LP002739,Male,Yes,0.0,Not Graduate,No,52917,50536.0,66.0,360.0,1.0,Rural,N
LP001904,Male,Yes,0.0,Graduate,No,53103,51300.0,80.0,360.0,1.0,Urban,Y
LP001326,Male,No,0.0,Graduate,Yes,56782,50000.0,,360.0,,Urban,N
LP001639,Female,Yes,0.0,Graduate,No,53625,50000.0,108.0,360.0,1.0,Semiurban,Y
LP002408,Male,No,0.0,Graduate,No,53660,55064.0,187.0,360.0,1.0,Semiurban,Y
LP002648,Male,Yes,0.0,Graduate,No,52130,56666.0,70.0,180.0,1.0,Semiurban,N
LP002036,Male,Yes,0.0,Graduate,No,52058,52134.0,88.0,360.0,,Urban,Y
LP001011,Male,Yes,2.0,Graduate,Yes,55417,54196.0,267.0,360.0,1.0,Urban,Y
LP001138,Male,Yes,1.0,Graduate,No,55649,50000.0,44.0,360.0,1.0,Urban,Y
LP002219,Male,Yes,3.0,Graduate,No,58750,54996.0,130.0,360.0,1.0,Rural,Y
LP002300,Female,No,0.0,Not Graduate,No,51963,50000.0,53.0,360.0,1.0,Semiurban,Y
LP002804,Female,Yes,0.0,Graduate,No,54180,52306.0,182.0,360.0,1.0,Semiurban,Y
LP001034,Male,No,1.0,Not Graduate,No,53596,50000.0,100.0,240.0,,Urban,Y
LP001151,Female,No,0.0,Graduate,No,54000,52275.0,144.0,360.0,1.0,Semiurban,Y
LP002936,Male,Yes,0.0,Graduate,No,53859,53300.0,142.0,180.0,1.0,Rural,Y
LP002600,Male,Yes,1.0,Graduate,Yes,52895,50000.0,95.0,360.0,1.0,Semiurban,Y
LP001006,Male,Yes,0.0,Not Graduate,No,52583,52358.0,120.0,360.0,1.0,Urban,Y
LP002181,Male,No,0.0,Not Graduate,No,56216,50000.0,133.0,360.0,1.0,Rural,N
LP002434,Male,Yes,2.0,Not Graduate,No,54652,50000.0,110.0,360.0,1.0,Rural,Y
LP002191,Male,Yes,0.0,Graduate,No,69730,55266.0,570.0,360.0,1.0,Rural,N
LP001994,Female,No,0.0,Graduate,No,52400,51863.0,104.0,360.0,0.0,Urban,N
LP001768,Male,Yes,0.0,Graduate,Yes,53716,50000.0,42.0,180.0,1.0,Rural,Y
LP001073,Male,Yes,2.0,Not Graduate,No,54226,51040.0,110.0,360.0,1.0,Urban,Y
LP002379,Male,No,0.0,Graduate,No,56500,50000.0,105.0,360.0,0.0,Rural,N
LP001884,Female,No,1.0,Graduate,No,52876,51560.0,90.0,360.0,1.0,Urban,Y
LP001157,Female,No,0.0,Graduate,No,53086,50000.0,120.0,360.0,1.0,Semiurban,Y
LP001784,Male,Yes,1.0,Graduate,No,55500,51260.0,170.0,360.0,1.0,Rural,Y
LP001114,Male,No,0.0,Graduate,No,54166,57210.0,184.0,360.0,1.0,Urban,Y
LP001560,Male,Yes,0.0,Not Graduate,No,51863,51041.0,98.0,360.0,1.0,Semiurban,Y
LP001807,Male,Yes,2.0,Graduate,Yes,56250,51300.0,108.0,360.0,1.0,Rural,Y
LP002916,Male,Yes,0.0,Graduate,No,52297,51522.0,104.0,360.0,1.0,Urban,Y
LP001630,Male,No,0.0,Not Graduate,No,52333,51451.0,102.0,480.0,0.0,Urban,N
LP002637,Male,No,0.0,Not Graduate,No,53598,51287.0,100.0,360.0,1.0,Rural,N
LP002403,Male,No,0.0,Graduate,Yes,60416,50000.0,187.0,360.0,0.0,Urban,N
LP001673,Male,No,0.0,Graduate,Yes,61000,50000.0,83.0,360.0,1.0,Urban,N
LP002659,Male,Yes,3.0,Graduate,No,53466,53428.0,150.0,360.0,1.0,Rural,Y
LP002931,Male,Yes,2.0,Graduate,Yes,56000,50000.0,205.0,240.0,1.0,Semiurban,N
LP002692,Male,Yes,3.0,Graduate,Yes,55677,51424.0,100.0,360.0,1.0,Rural,Y
LP001238,Male,Yes,3.0,Not Graduate,Yes,57100,50000.0,125.0,60.0,1.0,Urban,Y
LP002067,Male,Yes,1.0,Graduate,Yes,58666,54983.0,376.0,360.0,0.0,Rural,N
LP001586,Male,Yes,3.0,Not Graduate,No,53522,50000.0,81.0,180.0,1.0,Rural,N
LP002500,Male,Yes,3.0,Not Graduate,No,52947,51664.0,70.0,180.0,0.0,Urban,N
LP002697,Male,No,0.0,Graduate,No,54680,52087.0,,360.0,1.0,Semiurban,N
LP001671,Female,Yes,0.0,Graduate,No,53416,52816.0,113.0,360.0,,Semiurban,Y
LP001536,Male,Yes,3.0,Graduate,No,89999,50000.0,600.0,180.0,0.0,Semiurban,Y
LP002459,Male,Yes,0.0,Graduate,No,54301,50000.0,118.0,360.0,1.0,Urban,Y
LP002128,Male,Yes,2.0,Graduate,Yes,52583,52330.0,125.0,360.0,1.0,Rural,Y
LP002911,Male,Yes,1.0,Graduate,No,52787,51917.0,146.0,360.0,0.0,Rural,N
LP002115,Male,Yes,3.0,Not Graduate,No,52647,51587.0,173.0,360.0,1.0,Rural,N
LP001367,Male,Yes,1.0,Graduate,No,53052,51030.0,100.0,360.0,1.0,Urban,Y
LP002788,Male,Yes,0.0,Not Graduate,No,52454,52333.0,181.0,360.0,0.0,Urban,N
LP001255,Male,No,0.0,Graduate,No,53750,50000.0,113.0,480.0,1.0,Urban,N
LP002370,Male,No,0.0,Not Graduate,No,52717,50000.0,60.0,180.0,1.0,Urban,Y
LP002928,Male,Yes,0.0,Graduate,No,53000,53416.0,56.0,180.0,1.0,Semiurban,Y
LP001430,Female,No,0.0,Graduate,No,54166,50000.0,44.0,360.0,1.0,Semiurban,Y
LP002301,Female,No,0.0,Graduate,Yes,57441,50000.0,194.0,360.0,1.0,Rural,N
LP002341,Female,No,1.0,Graduate,No,52600,50000.0,160.0,360.0,1.0,Urban,N
LP002571,Male,No,0.0,Not Graduate,No,53691,50000.0,110.0,360.0,1.0,Rural,Y
LP001713,Male,Yes,1.0,Graduate,Yes,57787,50000.0,240.0,360.0,1.0,Urban,Y
LP002116,Female,No,0.0,Graduate,No,52378,50000.0,46.0,360.0,1.0,Rural,N
LP002524,Male,No,2.0,Graduate,No,55532,54648.0,162.0,360.0,1.0,Rural,Y
LP002137,Male,Yes,0.0,Graduate,No,56333,54583.0,259.0,360.0,,Semiurban,Y
LP002319,Male,Yes,0.0,Graduate,Yes,56256,50000.0,160.0,360.0,,Urban,Y
LP001018,Male,Yes,2.0,Graduate,No,54006,51526.0,168.0,360.0,1.0,Urban,Y
LP002386,Male,No,0.0,Graduate,Yes,62876,50000.0,405.0,360.0,1.0,Semiurban,Y
LP001112,Female,Yes,0.0,Graduate,No,53667,51459.0,144.0,360.0,1.0,Semiurban,Y
LP001504,Male,No,0.0,Graduate,Yes,56950,50000.0,175.0,180.0,1.0,Semiurban,Y
LP001864,Male,Yes,3.0,Not Graduate,No,54931,50000.0,128.0,360.0,,Semiurban,N
LP001998,Male,Yes,2.0,Not Graduate,No,57667,50000.0,185.0,360.0,,Rural,Y
LP002277,Female,No,0.0,Graduate,No,53180,50000.0,71.0,360.0,0.0,Urban,N
LP001205,Male,Yes,0.0,Graduate,No,52500,53796.0,120.0,360.0,1.0,Urban,Y
LP001392,Female,No,1.0,Graduate,Yes,57451,50000.0,,360.0,1.0,Semiurban,Y
LP002194,Female,No,0.0,Graduate,Yes,65759,50000.0,55.0,360.0,1.0,Semiurban,Y
LP002170,Male,Yes,2.0,Graduate,No,55000,53667.0,236.0,360.0,1.0,Semiurban,Y
LP001883,Female,No,0.0,Graduate,Yes,53418,50000.0,135.0,360.0,1.0,Rural,N
LP002941,Male,Yes,2.0,Not Graduate,Yes,56383,51000.0,187.0,360.0,1.0,Rural,N
LP001977,Male,Yes,1.0,Graduate,No,51625,51803.0,96.0,360.0,1.0,Urban,Y
LP001532,Male,Yes,2.0,Not Graduate,No,52281,50000.0,113.0,360.0,1.0,Rural,N
LP001892,Male,No,0.0,Graduate,No,52833,51857.0,126.0,360.0,1.0,Rural,Y
LP002717,Male,Yes,0.0,Graduate,No,51025,55500.0,216.0,360.0,,Rural,Y
LP002743,Female,No,0.0,Graduate,No,52138,50000.0,99.0,360.0,0.0,Semiurban,N
LP001116,Male,No,0.0,Not Graduate,No,53748,51668.0,110.0,360.0,1.0,Semiurban,Y
LP002585,Male,Yes,0.0,Graduate,No,53597,52157.0,119.0,360.0,0.0,Rural,N
LP002008,Male,Yes,2.0,Graduate,Yes,55746,50000.0,144.0,84.0,,Rural,Y
LP001688,Male,Yes,1.0,Not Graduate,No,53500,51083.0,135.0,360.0,1.0,Urban,Y
LP002175,Male,Yes,0.0,Graduate,No,54750,52333.0,130.0,360.0,1.0,Urban,Y
LP001520,Male,Yes,0.0,Graduate,No,54860,50830.0,125.0,360.0,1.0,Semiurban,Y
LP002536,Male,Yes,3.0,Not Graduate,No,53095,50000.0,113.0,360.0,1.0,Rural,Y
LP002755,Male,Yes,1.0,Not Graduate,No,52239,52524.0,128.0,360.0,1.0,Urban,Y
LP001528,Male,No,0.0,Graduate,No,56277,50000.0,118.0,360.0,0.0,Rural,N
LP002368,Male,Yes,2.0,Graduate,No,55935,50000.0,133.0,360.0,1.0,Semiurban,Y
LP002149,Male,Yes,2.0,Graduate,No,58333,53167.0,165.0,360.0,1.0,Rural,Y
LP002100,Male,No,,Graduate,No,52833,50000.0,71.0,360.0,1.0,Urban,Y
LP002284,Male,No,0.0,Not Graduate,No,53902,51666.0,109.0,360.0,1.0,Rural,Y
LP001443,Female,No,0.0,Graduate,No,53692,50000.0,93.0,360.0,,Rural,Y
LP002652,Male,No,0.0,Graduate,No,55815,53666.0,311.0,360.0,1.0,Rural,N
LP001333,Male,Yes,0.0,Graduate,No,51977,50997.0,50.0,360.0,1.0,Semiurban,Y
LP001516,Female,Yes,2.0,Graduate,No,64866,50000.0,70.0,360.0,1.0,Urban,Y
LP001813,Male,No,0.0,Graduate,Yes,56050,54333.0,120.0,180.0,1.0,Urban,N
LP002234,Male,No,0.0,Graduate,Yes,57167,50000.0,128.0,360.0,1.0,Urban,Y
LP001334,Male,Yes,0.0,Not Graduate,No,54188,50000.0,115.0,180.0,1.0,Semiurban,Y
LP002098,Male,No,0.0,Graduate,No,52935,50000.0,98.0,360.0,1.0,Semiurban,Y
LP001924,Male,No,0.0,Graduate,No,53158,53053.0,89.0,360.0,1.0,Rural,Y
LP001963,Male,Yes,1.0,Graduate,No,52014,52925.0,113.0,360.0,1.0,Urban,N
LP002784,Male,Yes,1.0,Not Graduate,No,52492,52375.0,,360.0,1.0,Rural,Y
LP001439,Male,Yes,0.0,Not Graduate,No,54300,52014.0,194.0,360.0,1.0,Rural,Y
LP001643,Male,Yes,0.0,Graduate,No,52383,52138.0,58.0,360.0,,Rural,Y
LP001698,Male,No,0.0,Not Graduate,No,53975,52531.0,55.0,360.0,1.0,Rural,Y
LP002097,Male,No,1.0,Graduate,No,54384,51793.0,117.0,360.0,1.0,Urban,Y
LP001841,Male,No,0.0,Not Graduate,Yes,52583,52167.0,104.0,360.0,1.0,Rural,Y
LP002705,Male,Yes,0.0,Graduate,No,53775,50000.0,110.0,360.0,1.0,Semiurban,Y
LP002332,Male,Yes,0.0,Not Graduate,No,52253,52033.0,110.0,360.0,1.0,Rural,Y
LP002556,Male,No,0.0,Graduate,No,52435,50000.0,75.0,360.0,1.0,Urban,N
LP002342,Male,Yes,2.0,Graduate,Yes,51600,70000.0,239.0,360.0,1.0,Urban,N
LP002741,Female,Yes,1.0,Graduate,No,54608,52845.0,140.0,180.0,1.0,Semiurban,Y
LP002958,Male,No,0.0,Graduate,No,53676,54301.0,172.0,360.0,1.0,Rural,Y
LP001451,Male,Yes,1.0,Graduate,Yes,60513,53850.0,160.0,180.0,0.0,Urban,N
LP002348,Male,Yes,0.0,Graduate,No,55829,50000.0,138.0,360.0,1.0,Rural,Y
LP001761,Male,No,0.0,Graduate,Yes,56400,50000.0,200.0,360.0,1.0,Rural,Y
LP002139,Male,Yes,0.0,Graduate,No,59083,50000.0,228.0,360.0,1.0,Semiurban,Y
LP001186,Female,Yes,1.0,Graduate,Yes,61500,50000.0,286.0,360.0,0.0,Urban,N
LP001750,Male,Yes,0.0,Graduate,No,56250,50000.0,128.0,360.0,1.0,Semiurban,Y
LP001478,Male,No,0.0,Graduate,No,52718,50000.0,70.0,360.0,1.0,Semiurban,Y
LP002789,Male,Yes,0.0,Graduate,No,53593,54266.0,132.0,180.0,0.0,Rural,N
LP002543,Male,Yes,2.0,Graduate,No,58333,50000.0,246.0,360.0,1.0,Semiurban,Y
LP002455,Male,Yes,2.0,Graduate,No,53859,50000.0,96.0,360.0,1.0,Semiurban,Y
LP002794,Female,No,0.0,Graduate,No,52667,51625.0,84.0,360.0,,Urban,Y
LP002297,Male,No,0.0,Graduate,No,52500,70000.0,103.0,360.0,1.0,Semiurban,Y
LP002586,Female,Yes,1.0,Graduate,No,53326,50913.0,105.0,84.0,1.0,Semiurban,Y
LP002778,Male,Yes,2.0,Graduate,Yes,56633,50000.0,,360.0,0.0,Rural,N
LP002266,Male,Yes,2.0,Graduate,No,53100,51400.0,113.0,360.0,1.0,Urban,Y
